,Athlete,Country,Medal,Olympic,Sport
17130,"BATEZ, Vladimir","['YUG', 'YUG']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17131,"BRDJOVIC, Dejan",['YUG'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17132,"DJURIC, Djordje",['YUG'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17133,"GERIC, Andrija","['YUG', 'YUG']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17134,"GRBIC, Nikola","['YUG', 'YUG']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17135,"GRBIC, Vladimir","['YUG', 'YUG']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17136,"JOKANOVIC, Rajko",['YUG'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17137,"KOVAC, Slobodan","['YUG', 'YUG']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17138,"MESTER, Djula","['YUG', 'YUG']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17139,"PETROVIC, Zarko",['YUG'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17140,"TANASKOVIC, Zeljko",['YUG'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17141,"VUJEVIC, Goran","['YUG', 'YUG']","[['Gold', 'Bronze'], [1, 1]]","[['Sydney', 'Atlanta'], [2000, 1996]]","['Volleyball', 'Volleyball']"
17142,"GORTZEN, Guido",['NED'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17143,"GRABERT, Rob",['NED'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17144,"LATUHIHIN, Misha",['NED'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17145,"RODENBURG, Brecht",['NED'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17146,"SCHUIL, Richard",['NED'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17147,"VAN DE GOOR, Bas",['NED'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17148,"VAN DE GOOR, Mike",['NED'],"[['Gold'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17149,"BERNARDI, Lorenzo",['ITA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17150,"BOVOLENTA, Vigor",['ITA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17151,"BRACCI, Marco","['ITA', 'ITA']","[['Silver', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Volleyball', 'Volleyball']"
17152,"CANTAGALLI, Luca",['ITA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17153,"GARDINI, Andrea","['ITA', 'ITA']","[['Silver', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Volleyball', 'Volleyball']"
17154,"GIANI, Andrea","['ITA', 'ITA']","[['Silver', 'Bronze'], [2, 1]]","[['Atlanta', 'Athens', 'Sydney'], [1996, 2004, 2000]]","['Volleyball', 'Volleyball']"
17155,"GRAVINA, Pasquale","['ITA', 'ITA']","[['Silver', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Volleyball', 'Volleyball']"
17156,"MEONI, Marco","['ITA', 'ITA']","[['Silver', 'Bronze'], [1, 1]]","[['Atlanta', 'Sydney'], [1996, 2000]]","['Volleyball', 'Volleyball']"
17157,"PAPI, Samuele","['ITA', 'ITA']","[['Silver', 'Bronze'], [2, 1]]","[['Atlanta', 'Athens', 'Sydney'], [1996, 2004, 2000]]","['Volleyball', 'Volleyball']"
17158,"SARTORETTI, Andrea","['ITA', 'ITA']","[['Silver', 'Bronze'], [2, 1]]","[['Atlanta', 'Athens', 'Sydney'], [1996, 2004, 2000]]","['Volleyball', 'Volleyball']"
17159,"TOFOLI, Paolo","['ITA', 'ITA']","[['Silver', 'Bronze'], [2, 1]]","[['Atlanta', 'Athens', 'Sydney'], [1996, 2004, 2000]]","['Volleyball', 'Volleyball']"
17160,"ZORZI, Andrea",['ITA'],"[['Silver'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
17161,"ALVARES, Ana Margarita",['BRA'],"[['Bronze'], [1]]","[['Atlanta'], [1996]]",['Volleyball']
