,Athlete,Country,Medal,Olympic,Sport
3538,"LANGFORD, William",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3539,"LITTLE, Harold",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3540,"SMITH, John","['CAN', 'USA']","[['Silver', 'Gold'], [1, 2]]","[['Paris', 'Seoul', 'Barcelona'], [1924, 1988, 1992]]","['Rowing', 'Wrestling']"
3541,"SNYDER, Warren",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3542,"TAYLOR, Norman",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3543,"WALLACE, William",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3544,"ALBRECHT, Emile","['SUI', 'SUI']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Rowing', 'Rowing']"
3545,"PROBST, Alfred","['SUI', 'SUI']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Rowing', 'Rowing']"
3546,"SIGG, Eugen","['SUI', 'SUI']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Rowing', 'Rowing']"
3547,"ELEY, Charles",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rowing']
3548,"MACNABB, James",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rowing']
3549,"MORRISON, Robert",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rowing']
3550,"SANDERS, Terence",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rowing']
3551,"BLACK, Archibald",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3552,"MACKAY, George",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3553,"MARIACHER, A.",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3554,"GERHARDT, Robert",['USA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rowing']
3555,"JELINEK, Sidney",['USA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rowing']
3556,"KENNEDY, John",['USA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rowing']
3557,"MITCHELL, Edward",['USA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rowing']
3558,"WELSFORD, Henry",['USA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rowing']
3559,"LOSSLI, Walter",['SUI'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rowing']
3560,"WALTHER, Hans",['SUI'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rowing']
3561,"CONSTANT, Eugène",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3562,"GRESSIER, Louis A.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3563,"LECOINTE, Georges",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3564,"TALLEUX, Raymond",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3565,"BUTLER, Leon",['USA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rowing']
3566,"JENNINGS, Edward Francis","['USA', 'USA']","[['Gold', 'Bronze'], [1, 1]]","[['Los Angeles', 'Paris'], [1932, 1924]]","['Rowing', 'Rowing']"
3567,"LACHAPELLE, Emil",['SUI'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rowing']
3568,"SOPRACORDEVOLE, Gino",['ITA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rowing']
3569,"SCHNEIDER, Josef",['SUI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rowing']
3570,"GILMORE, Williams  E.Garrett","['USA', 'USA']","[['Silver', 'Gold'], [1, 1]]","[['Paris', 'Los Angeles'], [1924, 1932]]","['Rowing', 'Rowing']"
3571,"ANASTASIADE, N.",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3572,"ARMASEL, Dumitru",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3573,"BENTIA, Gheorghe",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3574,"COCIOCIAHO, J.",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3575,"CRATUNESCO, C.",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3576,"FLORIAN, Theodor",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3577,"GARLESTEANO, J.",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3578,"GHITZULESCO, P.",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3579,"LOUKIDY, O.",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3580,"MANO, H.",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3581,"MARASCO, Nicolae",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3582,"MARIAN, Theodor",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3583,"MICHAILESCO, Sorin",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3584,"NEDELCOVICI, Paul",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3585,"NEMESCH, Iosif",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3586,"SFETESCU, Eugen",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3587,"SFETESCU, Mircea",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3588,"STERIAN, Soare",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3589,"STROESCO, M.",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3590,"TANASESCU, Atanasie",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3591,"VARDALA, Mihail",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3592,"VIDRASHCU, Paul",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3593,"VOLVOREANU, Dumitru",['ROU'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Rugby']
3594,"AUSTIN, C.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3595,"BROWN, R.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3596,"CASHEL, J.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3597,"CLARK, P.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3598,"CLEAVELAND, Norman",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3599,"CUNNINGHAM, H.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3600,"DE GROOT, Dudley",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3601,"DEVEREAUX, Robert",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3602,"DIXON, Georges",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3603,"FARRISH, Linn Markley",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3604,"GRAFF, Edward",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3605,"GRONDONA, C.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3606,"HYLAND, Richard Frank",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3607,"MANELLI, Caesar",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3608,"ROGERS, William Lister",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3609,"SLATER, Norman Bernard",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3610,"TURKINGTON, Edward L.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3611,"VALENTINE, Alan Chester",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3612,"WILLIAMS, Alan Frank",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3613,"WINSTON, J.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Rugby']
3614,"ABRAHAM, F.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3615,"ARAOU, René",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3616,"BAYARD, Jean",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3617,"BEGUET, Louis",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3618,"BEHOTEGUY, André",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3619,"BESSON, M.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3620,"BIOUSSA, Alexandre",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3621,"BONNES, Etienne",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3622,"BORDE, François",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3623,"CASSAYET, Aimé",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3624,"CAYROL, F.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3625,"CLAUZEL, F.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3626,"DUPONT, Clément",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3627,"DUPOUY, Albert",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3628,"ETCHEBERRY, Jean",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3629,"FRAYSSINET, E.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3630,"GALAU, Henri",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3631,"GERENTES, Gilbert",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3632,"GONNET, C.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3633,"GOT, Raoul",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3634,"JAUREGUY, Adolphe",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3635,"LASSERRE, René",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3636,"LEPATEY, L.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3637,"LUBIN-LEBRÈRE, Marcel-Frédéric",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3638,"MONTADE, C.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3639,"PIQUIRAL, Etienne",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3640,"PITEU, R.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3641,"RIBERE, E.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3642,"VAYSSE, Jean",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Rugby']
3643,"GUEPIN, Antonij Johannes",['NED'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Sailing']
3644,"VREEDE, Jan Anthony",['NED'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Sailing']
3645,"DAHL, Christopher Johan",['NOR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Sailing']
3646,"LUNDE, Eugen Peder",['NOR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Sailing']
3647,"LUNDGREN, Anders",['NOR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Sailing']
3648,"DEGN, Knud Oluf",['DEN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Sailing']
3649,"NIELSEN, Christian Sören",['DEN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Sailing']
3650,"VETT, Vilhelm",['DEN'],"[['Silver'], [2]]","[['Paris', 'Amsterdam'], [1924, 1928]]",['Sailing']
3651,"BREGUET, Louis",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Sailing']
3652,"GANTHIER, P.",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Sailing']
3653,"GIRARDET, R.",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Sailing']
3654,"GUERRIER, A.",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Sailing']
3655,"MOLLARD, Georges",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Sailing']
3656,"BOCKELIE, Rick Marlow",['NOR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Sailing']
3657,"HAGEN, Harald",['NOR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Sailing']
3658,"RINGVOLD, Carl August Jr.",['NOR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Sailing']
3659,"JACOB, Edwin Ellis",['GBR'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Sailing']
3660,"RIGGS, Thomas Cooper",['GBR'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Sailing']
3661,"RIGGS, Walter",['GBR'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Sailing']
3662,"RONEY, Ernest John",['GBR'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Sailing']
3663,"DITTMAR, Hans Erik",['FIN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Sailing']
3664,"ROBERT, Henrik",['NOR'],"[['Silver'], [2]]","[['Paris', 'Amsterdam'], [1924, 1928]]",['Sailing']
3665,"MACKWORTH-PRAED, Cyril Winthrop","['GBR', 'GBR']","[['Silver', 'Gold'], [2, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Shooting', 'Shooting']"
3666,"EKBLOM, Axel W.",['SWE'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3667,"JOHANSSON, G. Mauritz","['SWE', 'SWE']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Shooting', 'Shooting']"
3668,"SVENSSON, Karl-Gustaf E.","['SWE', 'SWE']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Shooting', 'Shooting']"
3669,"FAUNTHORPE, John Champion",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3670,"NEAME, Philip",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3671,"O'LEARY, John J.",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3672,"PERRY, Herbert Spencer",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3673,"WHITTY, Allen",['GBR'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3674,"WESMANN-KJAER, Oluf","['NOR', 'NOR']","[['Silver', 'Gold'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Shooting', 'Shooting']"
3675,"BOLES, John Keith","['USA', 'USA']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Shooting', 'Shooting']"
3676,"COULTER, Raymond Orville","['USA', 'USA']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Shooting', 'Shooting']"
3677,"STOKES, Walter Raymond","['USA', 'USA']","[['Gold', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Shooting', 'Shooting']"
3678,"HULTBERG, Otto F.",['SWE'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Shooting']
3679,"HANNELIUS, Lennart Wilhelm",['FIN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3680,"BAILEY, Henry Marvin",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3681,"AUGUSTIN, Ludovic",['HAI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3682,"CLERMONT, L. H.",['HAI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3683,"DESTINE, Destin",['HAI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3684,"DUPRE, C.",['HAI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3685,"METULLUS, St Eloi",['HAI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3686,"ROLLAND, Astrel",['HAI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3687,"VALBORGE, Ludovic",['HAI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3688,"CROCKETT, Joseph W.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3689,"HINDS, Sidney Rae",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3690,"HARDY, Pierre",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Shooting']
3691,"HARTMANN, Josias",['SUI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3692,"COQUELIN DE LISLE, Pierre",['FRA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3693,"DINWIDDIE, Marcus William",['USA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Shooting']
3694,"EKMAN, Werner R. N.",['FIN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3695,"HUBER, Konrad Walentin","['FIN', 'FIN']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Shooting', 'Shooting']"
3696,"HUBER, Robert Valdemar",['FIN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3697,"NORDBLAD, Georg J. W.",['FIN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3698,"ETCHEN, Frederick R.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3699,"HUGUES, F. H.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3700,"MOEL, J.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3701,"PLATT, Clarence B.",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3702,"SHARMAN, Samuel",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3703,"SILKWORTH, William",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3704,"BARNES, W.",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Shooting']
3705,"BLACK, John Hutchinson",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Shooting']
3706,"MONTGOMERY, Robert James",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Shooting']
3707,"NEWTON, S. R.",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Shooting']
3708,"VANCE, Samuel Goodwin",['CAN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Shooting']
3709,"HUGHES, Frank",['USA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Shooting']
3710,"HALASY, Gyula",['HUN'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Shooting']
3711,"BOROTRA, Jean R.",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Tennis']
3712,"LACOSTE, Jean René",['FRA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Tennis']
3713,"HUNTER, Francis Townsend",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Tennis']
3714,"RICHARDS, Vincent","['USA', 'USA']","[['Silver', 'Gold'], [1, 2]]","[['Paris', 'Paris'], [1924, 1924]]","['Tennis', 'Tennis']"
3715,"BRUGNON, Jacques",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Tennis']
3716,"COCHET, Henri",['FRA'],"[['Silver'], [2]]","[['Paris'], [1924]]",['Tennis']
3717,"COLYER, Evelyn Lucy",['GBR'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Tennis']
3718,"SHEPHERD BARRON, Dorothy Cunliffe",['GBR'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Tennis']
3719,"WIGHTMAN, Hazel Virginia",['USA'],"[['Gold'], [2]]","[['Paris'], [1924]]",['Tennis']
3720,"WILLS-MOODY, Helen",['USA'],"[['Gold'], [2]]","[['Paris'], [1924]]",['Tennis']
3721,"COVELL, Phyllis Lindrea",['GBR'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Tennis']
3722,"MAC KANE, Kathleen","['GBR', 'GBR']","[['Silver', 'Bronze'], [1, 1]]","[['Paris', 'Paris'], [1924, 1924]]","['Tennis', 'Tennis']"
3723,"TIMMER, Hendrik",['NED'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Tennis']
3724,"WILLIAMS, Richard Norris III",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Tennis']
3725,"BOUMAN, Cornelia",['NED'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Tennis']
3726,"JESSUP, Marion",['USA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Tennis']
3727,"DE MORPURGO, Umberto",['ITA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Tennis']
3728,"VLASTO, Julie P.",['FRA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Tennis']
3729,"REINMANN, Arthur",['SUI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3730,"GABETTI, Pierino","['ITA', 'ITA']","[['Silver', 'Gold'], [1, 1]]","[['Amsterdam', 'Paris'], [1928, 1924]]","['Weightlifting', 'Weightlifting']"
3731,"STADLER, Andreas",['AUT'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3732,"TAMMER, Harald",['EST'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3733,"TONANI, Giuseppe",['ITA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3734,"AIGNER, Franz",['AUT'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3735,"DURDYS, Bohumil",['TCH'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3736,"DECOTTIGNIES, Edmond",['FRA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3737,"ZWERINA, Anton",['AUT'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3738,"KIKKAS, Jaan",['EST'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3739,"GALIMBERTI, Carlo","['ITA', 'ITA']","[['Silver', 'Gold'], [2, 1]]","[['Amsterdam', 'Los Angeles', 'Paris'], [1928, 1932, 1924]]","['Weightlifting', 'Weightlifting']"
3740,"FRIEDRICH, Leopold",['AUT'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3741,"RIGOULOT, Charles",['FRA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Weightlifting']
3742,"HINES, Bryan",['USA'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3743,"PIHLAJAMÄKI, Kustaa","['FIN', 'FIN']","[['Silver', 'Gold'], [1, 2]]","[['Amsterdam', 'Paris', 'Berlin'], [1928, 1924, 1936]]","['Wrestling', 'Wrestling']"
3744,"MÄKINEN, Kaarlo E.","['FIN', 'FIN']","[['Silver', 'Gold'], [1, 1]]","[['Paris', 'Amsterdam'], [1924, 1928]]","['Wrestling', 'Wrestling']"
3745,"MAC DONALD, Andrew",['GBR'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3746,"STEELE, Harry",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
3747,"WERNLI, Henri",['SUI'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Wrestling']
3748,"NAITO, Katsutoshi",['JPN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3749,"REED, Robin",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
3750,"NEWTON, Chester",['USA'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Wrestling']
3751,"HAAVISTO, Arvo","['FIN', 'FIN']","[['Gold', 'Bronze'], [1, 1]]","[['Amsterdam', 'Paris'], [1928, 1924]]","['Wrestling', 'Wrestling']"
3752,"VIS, Russell",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
3753,"WIKSTRÖM, Volmari W.",['FIN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Wrestling']
3754,"MÜLLER, Otto",['SUI'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3755,"GEHRI, Hermann",['SUI'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
3756,"PEKKALA, Vilho F.",['FIN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3757,"HAGGMANN, Fritz",['SUI'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
3758,"OLLIVIER, Pierre",['BEL'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Wrestling']
3759,"SPELLMAN, John Franklin",['USA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
3760,"SVENSSON, Rudolf","['SWE', 'SWE']","[['Silver', 'Gold'], [2, 2]]","[['Paris', 'Amsterdam', 'Los Angeles'], [1924, 1928, 1932]]","['Wrestling', 'Wrestling']"
3761,"IKONEN, Väinö V.",['FIN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3762,"PÜTSEP, Eduard",['EST'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
3763,"AHLFORS, Anselm",['FIN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Wrestling']
3764,"BADO, Rajmund",['HUN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3765,"DEGLANE, Henri",['FRA'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
3766,"MALMBERG, Eric","['SWE', 'SWE', 'SWE']","[['Silver', 'Gold', 'Bronze'], [1, 1, 1]]","[['Amsterdam', 'Los Angeles', 'Paris'], [1928, 1932, 1924]]","['Wrestling', 'Wrestling', 'Wrestling']"
3767,"TOIVOLA, Aleksander",['FIN'],"[['Silver'], [1]]","[['Paris'], [1924]]",['Wrestling']
3768,"WESTERLUND, Kaarlo",['FIN'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3769,"KERESZTES, Lajos","['HUN', 'HUN']","[['Silver', 'Gold'], [1, 1]]","[['Paris', 'Amsterdam'], [1924, 1928]]","['Wrestling', 'Wrestling']"
3770,"STEINBERG, Roman",['EST'],"[['Bronze'], [1]]","[['Paris'], [1924]]",['Wrestling']
3771,"WESTERLUND, Edward Wilhelm",['FIN'],"[['Gold'], [1]]","[['Paris'], [1924]]",['Wrestling']
