,Holding Place,Year,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
4132,Paris,1924,Aquatics,Diving,"CLARKE, Harold",GBR,Men,plain high diving,M,Bronze
4135,Paris,1924,Aquatics,Swimming,"BARTHA, István",HUN,Men,100m backstroke,M,Bronze
4138,Paris,1924,Aquatics,Swimming,"RIGGIN, Aileen",USA,Women,100m backstroke,W,Bronze
4141,Paris,1924,Aquatics,Swimming,"KAHANAMOKU, Samuel",USA,Men,100m freestyle,M,Bronze
4144,Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,100m freestyle,W,Bronze
4147,Paris,1924,Aquatics,Swimming,"DE BEAUREPAIRE, Frank",AUS,Men,1500m freestyle,M,Bronze
4150,Paris,1924,Aquatics,Swimming,"KIRSHBAUM, William",USA,Men,200m breaststroke,M,Bronze
4153,Paris,1924,Aquatics,Swimming,"CARSON, Gladys",GBR,Women,200m breaststroke,W,Bronze
4156,Paris,1924,Aquatics,Swimming,"CHARLTON, Andrew",AUS,Men,400m freestyle,M,Bronze
4159,Paris,1924,Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,400m freestyle,W,Bronze
4162,Paris,1924,Aquatics,Swimming,"BERG, Aina",SWE,Women,4x100m freestyle relay,W,Bronze
4163,Paris,1924,Aquatics,Swimming,"EWERLUND, Gurli",SWE,Women,4x100m freestyle relay,W,Bronze
4164,Paris,1924,Aquatics,Swimming,"GYLLING, Jane",SWE,Women,4x100m freestyle relay,W,Bronze
4165,Paris,1924,Aquatics,Swimming,"PETTERSSON, Wivan",SWE,Women,4x100m freestyle relay,W,Bronze
4166,Paris,1924,Aquatics,Swimming,"TÖPEL, Hjördis",SWE,Women,4x100m freestyle relay,W,Bronze
4179,Paris,1924,Aquatics,Swimming,"BORG, Ake",SWE,Men,4x200m freestyle relay,M,Bronze
4180,Paris,1924,Aquatics,Swimming,"BORG, Arne",SWE,Men,4x200m freestyle relay,M,Bronze
4181,Paris,1924,Aquatics,Swimming,"HENNING, Tor",SWE,Men,4x200m freestyle relay,M,Bronze
4182,Paris,1924,Aquatics,Swimming,"PERSSON, O. Gösta A.",SWE,Men,4x200m freestyle relay,M,Bronze
4183,Paris,1924,Aquatics,Swimming,"TROLLE, Orvar",SWE,Men,4x200m freestyle relay,M,Bronze
4184,Paris,1924,Aquatics,Swimming,"WERNER, Georg",SWE,Men,4x200m freestyle relay,M,Bronze
4196,Paris,1924,Aquatics,Water polo,"AUSTIN, Arthur",USA,Men,water polo,M,Bronze
4197,Paris,1924,Aquatics,Water polo,"COLLETT, E.",USA,Men,water polo,M,Bronze
4198,Paris,1924,Aquatics,Water polo,"HANDY, J.",USA,Men,water polo,M,Bronze
4199,Paris,1924,Aquatics,Water polo,"HORN, Oliver",USA,Men,water polo,M,Bronze
4200,Paris,1924,Aquatics,Water polo,"LAUER, Frederick",USA,Men,water polo,M,Bronze
4201,Paris,1924,Aquatics,Water polo,"MITCHELL, George F.",USA,Men,water polo,M,Bronze
4202,Paris,1924,Aquatics,Water polo,"NORTON, John",USA,Men,water polo,M,Bronze
4203,Paris,1924,Aquatics,Water polo,"O'CONNOR, James Wallace",USA,Men,water polo,M,Bronze
4204,Paris,1924,Aquatics,Water polo,"SCHROTH, George E.",USA,Men,water polo,M,Bronze
4205,Paris,1924,Aquatics,Water polo,"VOLLMER, Herbert Eberhard",USA,Men,water polo,M,Bronze
4206,Paris,1924,Aquatics,Water polo,"WEISSMULLER, Johnny",USA,Men,water polo,M,Bronze
4229,Paris,1924,Athletics,Athletics,"BERG, Eero",FIN,Men,10000m,M,Bronze
4232,Paris,1924,Athletics,Athletics,"MACMASTER, Cecil",RSA,Men,10000m walk,M,Bronze
4235,Paris,1924,Athletics,Athletics,"PORRITT, Arthur",NZL,Men,100m,M,Bronze
4238,Paris,1924,Athletics,Athletics,"PETTERSSON, Sten",SWE,Men,110m hurdles,M,Bronze
4241,Paris,1924,Athletics,Athletics,"STALLARD, Henry B.",GBR,Men,1500m,M,Bronze
4244,Paris,1924,Athletics,Athletics,"LIDDELL, Eric Henry",GBR,Men,200m,M,Bronze
4247,Paris,1924,Athletics,Athletics,"BONTEMPS, Paul",FRA,Men,3000m steeplechase,M,Bronze
4250,Paris,1924,Athletics,Athletics,"CONNOLLY, James",USA,Men,3000m team,M,Bronze
4251,Paris,1924,Athletics,Athletics,"COX, William",USA,Men,3000m team,M,Bronze
4252,Paris,1924,Athletics,Athletics,"KIRBY, Edward",USA,Men,3000m team,M,Bronze
4253,Paris,1924,Athletics,Athletics,"LARRIVEE, Leo",USA,Men,3000m team,M,Bronze
4254,Paris,1924,Athletics,Athletics,"RAY, Joseph",USA,Men,3000m team,M,Bronze
4255,Paris,1924,Athletics,Athletics,"TIBBETTS, Willard",USA,Men,3000m team,M,Bronze
4267,Paris,1924,Athletics,Athletics,"BUTLER, Guy Montagu",GBR,Men,400m,M,Bronze
4270,Paris,1924,Athletics,Athletics,"RILEY, Ivan",USA,Men,400m hurdles,M,Bronze
4273,Paris,1924,Athletics,Athletics,"BOOT, Jacobus",NED,Men,4x100m relay,M,Bronze
4274,Paris,1924,Athletics,Athletics,"BROOS, Henricus Adrianus",NED,Men,4x100m relay,M,Bronze
4275,Paris,1924,Athletics,Athletics,"DE VRIES, Jan Cornelis",NED,Men,4x100m relay,M,Bronze
4276,Paris,1924,Athletics,Athletics,"VAN DEN BERGE, Marinus",NED,Men,4x100m relay,M,Bronze
4285,Paris,1924,Athletics,Athletics,"BUTLER, Guy Montagu",GBR,Men,4x400m relay,M,Bronze
4286,Paris,1924,Athletics,Athletics,"RENWICK, George Russell",GBR,Men,4x400m relay,M,Bronze
4287,Paris,1924,Athletics,Athletics,"RIPLEY, Richard N.",GBR,Men,4x400m relay,M,Bronze
4288,Paris,1924,Athletics,Athletics,"TOMS, Edward James",GBR,Men,4x400m relay,M,Bronze
4297,Paris,1924,Athletics,Athletics,"WIDE, Edvin",SWE,Men,5000m,M,Bronze
4300,Paris,1924,Athletics,Athletics,"ENCK, Schuyler",USA,Men,800m,M,Bronze
4303,Paris,1924,Athletics,Athletics,"JOHNSON, Richard Earl",USA,Men,cross country individual,M,Bronze
4306,Paris,1924,Athletics,Athletics,"DOLQUES, L. Lucien",FRA,Men,cross country team,M,Bronze
4307,Paris,1924,Athletics,Athletics,"HEUET, Gaston",FRA,Men,cross country team,M,Bronze
4308,Paris,1924,Athletics,Athletics,"LAUSEIG, André",FRA,Men,cross country team,M,Bronze
4309,Paris,1924,Athletics,Athletics,"LAUVAUX, Henri",FRA,Men,cross country team,M,Bronze
4310,Paris,1924,Athletics,Athletics,"MARCHAL, Robert",FRA,Men,cross country team,M,Bronze
4311,Paris,1924,Athletics,Athletics,"NORLAND, Maurice",FRA,Men,cross country team,M,Bronze
4324,Paris,1924,Athletics,Athletics,"KLUMBERG-KOLMPERE, Alexander",EST,Men,decathlon,M,Bronze
4327,Paris,1924,Athletics,Athletics,"LIEB, Thomas John",USA,Men,discus throw,M,Bronze
4330,Paris,1924,Athletics,Athletics,"NOKES, Malcolm Cuthbert",GBR,Men,hammer throw,M,Bronze
4333,Paris,1924,Athletics,Athletics,"LEWDEN, Pierre",FRA,Men,high jump,M,Bronze
4336,Paris,1924,Athletics,Athletics,"OBERST, Eugene",USA,Men,javelin throw,M,Bronze
4339,Paris,1924,Athletics,Athletics,"HANSEN, Sverre",NOR,Men,long jump,M,Bronze
4342,Paris,1924,Athletics,Athletics,"DE MAR, Clarence Harrison",USA,Men,marathon,M,Bronze
4345,Paris,1924,Athletics,Athletics,"LE GENDRE, Robert Lucien",USA,Men,pentathlon,M,Bronze
4348,Paris,1924,Athletics,Athletics,"BROOKER, James K.",USA,Men,pole vault,M,Bronze
4351,Paris,1924,Athletics,Athletics,"HILLS, Ralph Gorman",USA,Men,shot put,M,Bronze
4354,Paris,1924,Athletics,Athletics,"TUULOS, Vilho Immanuel",FIN,Men,triple jump,M,Bronze
4357,Paris,1924,Boxing,Boxing,"FEE, Raymond",USA,Men,- 50.8kg (flyweight),M,Bronze
4360,Paris,1924,Boxing,Boxing,"PORZIO, Alfredo",ARG,Men,+ 79.38kg (heavyweight),M,Bronze
4363,Paris,1924,Boxing,Boxing,"CES, Jean",FRA,Men,50.8 - 53.52kg (bantamweight),M,Bronze
4366,Paris,1924,Boxing,Boxing,"QUARTUCCI, Pedro",ARG,Men,53.52 - 57.15kg (featherweight),M,Bronze
4369,Paris,1924,Boxing,Boxing,"BOYLSTEIN, Frederick",USA,Men,57.15 - 61.24kg (lightweight),M,Bronze
4372,Paris,1924,Boxing,Boxing,"LEWIS, Douglas",CAN,Men,61.24 - 66.68kg (welterweight),M,Bronze
4375,Paris,1924,Boxing,Boxing,"BEECKEN, Joseph Jules",BEL,Men,66.68 - 72.57kg (middleweight),M,Bronze
4378,Paris,1924,Boxing,Boxing,"SÖRSDAL, Sverre",NOR,Men,72.57 - 79.38kg (light-heavyweight),M,Bronze
4381,Paris,1924,Cycling,Cycling Road,"HAMEL, René",FRA,Men,individual road race,M,Bronze
4384,Paris,1924,Cycling,Cycling Road,"BOHLIN, Eric",SWE,Men,team time trial,M,Bronze
4385,Paris,1924,Cycling,Cycling Road,"MALM, Ragnar",SWE,Men,team time trial,M,Bronze
4386,Paris,1924,Cycling,Cycling Road,"SKÖLD, Gunnar",SWE,Men,team time trial,M,Bronze
4393,Paris,1924,Cycling,Cycling Track,"BOSCH VAN DRAKESTEIN, Gerald Henri",NED,Men,2000m tandem,M,Bronze
4394,Paris,1924,Cycling,Cycling Track,"PEETERS, Mauritius",NED,Men,2000m tandem,M,Bronze
4399,Paris,1924,Cycling,Cycling Track,"WYLD, Frederick Henry",GBR,Men,50km,M,Bronze
4402,Paris,1924,Cycling,Cycling Track,"CUGNOT, Jean",FRA,Men,Sprint indivual,M,Bronze
4405,Paris,1924,Cycling,Cycling Track,"DAGHELINCKX, Gustave Léonard",BEL,Men,Team Pursuit (4000m),M,Bronze
4406,Paris,1924,Cycling,Cycling Track,"HOEVENAERS, Henri",BEL,Men,Team Pursuit (4000m),M,Bronze
4407,Paris,1924,Cycling,Cycling Track,"SAIVE, Ferdinand",BEL,Men,Team Pursuit (4000m),M,Bronze
4408,Paris,1924,Cycling,Cycling Track,"VAN DEN BOSCH, Jean",BEL,Men,Team Pursuit (4000m),M,Bronze
4417,Paris,1924,Equestrian,Dressage,"LESAGE, Xavier François",FRA,Men,individual,X,Bronze
4420,Paris,1924,Equestrian,Eventing,"DOAK, Sloan",USA,Men,individual,X,Bronze
4423,Paris,1924,Equestrian,Eventing,"ALVISI, Alessandro",ITA,Men,team,X,Bronze
4424,Paris,1924,Equestrian,Eventing,"DI PRALORMO, Emanuele",ITA,Men,team,X,Bronze
4425,Paris,1924,Equestrian,Eventing,"LEQUIO DI ASSABA, Tommaso",ITA,Men,team,X,Bronze
4426,Paris,1924,Equestrian,Eventing,"LOMBARDI, Alberto",ITA,Men,team,X,Bronze
4436,Paris,1924,Equestrian,Jumping,"KROLIKIEWICZ, Adam",POL,Men,individual,X,Bronze
4439,Paris,1924,Equestrian,Jumping,"BORGES D'ALMEIDA, Antonio",POR,Men,team,X,Bronze
4440,Paris,1924,Equestrian,Jumping,"DE SOUZA MARTINS, Helder",POR,Men,team,X,Bronze
4441,Paris,1924,Equestrian,Jumping,"MOUZINHO D'ALBUQUERQUE, José",POR,Men,team,X,Bronze
4448,Paris,1924,Fencing,Fencing,"HELLSTEN, Nils Erik",SWE,Men,épée individual,M,Bronze
4451,Paris,1924,Fencing,Fencing,"BASLETTA, Giulio",ITA,Men,épée team,M,Bronze
4452,Paris,1924,Fencing,Fencing,"BERTINETTI, Marcello",ITA,Men,épée team,M,Bronze
4453,Paris,1924,Fencing,Fencing,"CANOVA, Giovanni",ITA,Men,épée team,M,Bronze
4454,Paris,1924,Fencing,Fencing,"CUCCIA, Vincenzo",ITA,Men,épée team,M,Bronze
4455,Paris,1924,Fencing,Fencing,"MONTEGAZZA, V.",ITA,Men,épée team,M,Bronze
4456,Paris,1924,Fencing,Fencing,"MORICCA, Oreste",ITA,Men,épée team,M,Bronze
4470,Paris,1924,Fencing,Fencing,"VAN DAMME, Maurice E.",BEL,Men,foil individual,M,Bronze
4473,Paris,1924,Fencing,Fencing,"HECKSCHER, Grete",DEN,Women,foil individual,W,Bronze
4476,Paris,1924,Fencing,Fencing,"BERTI, Laszlo",HUN,Men,foil team,M,Bronze
4477,Paris,1924,Fencing,Fencing,"LICHTENECKERT, Istvan",HUN,Men,foil team,M,Bronze
4478,Paris,1924,Fencing,Fencing,"POSTA, Sandor",HUN,Men,foil team,M,Bronze
4479,Paris,1924,Fencing,Fencing,"SCHENKER, Zoltan",HUN,Men,foil team,M,Bronze
4480,Paris,1924,Fencing,Fencing,"TERSZTYANSZKY, Ödön",HUN,Men,foil team,M,Bronze
4495,Paris,1924,Fencing,Fencing,"GARAY, Janos",HUN,Men,sabre individual,M,Bronze
4498,Paris,1924,Fencing,Fencing,"DE JONG, Adrianus Egbertus Willem",NED,Men,sabre team,M,Bronze
4499,Paris,1924,Fencing,Fencing,"DOORMAN, Jetze",NED,Men,sabre team,M,Bronze
4500,Paris,1924,Fencing,Fencing,"SCHERPENHUYZEN, Hendrik Dorotheus",NED,Men,sabre team,M,Bronze
4501,Paris,1924,Fencing,Fencing,"VAN DER WIEL, Jan",NED,Men,sabre team,M,Bronze
4502,Paris,1924,Fencing,Fencing,"VAN DULM, Maarten Hendrik",NED,Men,sabre team,M,Bronze
4503,Paris,1924,Fencing,Fencing,"WYNOLDY-DANIELS, Henri Jacob",NED,Men,sabre team,M,Bronze
4520,Paris,1924,Football,Football,"ALFREDSSON, Axel",SWE,Men,football,M,Bronze
4521,Paris,1924,Football,Football,"BROMMESSON, Charles",SWE,Men,football,M,Bronze
4522,Paris,1924,Football,Football,"CARLSON, Gustaf",SWE,Men,football,M,Bronze
4523,Paris,1924,Football,Football,"DAHL, Albin",SWE,Men,football,M,Bronze
4524,Paris,1924,Football,Football,"FRIBERG, Sven",SWE,Men,football,M,Bronze
4525,Paris,1924,Football,Football,"GUSTAFSSON, Karl",SWE,Men,football,M,Bronze
4526,Paris,1924,Football,Football,"HILLEN, Fritjof",SWE,Men,football,M,Bronze
4527,Paris,1924,Football,Football,"HIRSCH, Konrad",SWE,Men,football,M,Bronze
4528,Paris,1924,Football,Football,"HOLMBERG, Gunnar",SWE,Men,football,M,Bronze
4529,Paris,1924,Football,Football,"KAUFELDT, Per",SWE,Men,football,M,Bronze
4530,Paris,1924,Football,Football,"KELLER, Tore",SWE,Men,football,M,Bronze
4531,Paris,1924,Football,Football,"KOCK, Rudolf",SWE,Men,football,M,Bronze
4532,Paris,1924,Football,Football,"LINDBERG, Sigfrid",SWE,Men,football,M,Bronze
4533,Paris,1924,Football,Football,"LINDBERG, V.",SWE,Men,football,M,Bronze
4534,Paris,1924,Football,Football,"LINDQVIST, Sven",SWE,Men,football,M,Bronze
4535,Paris,1924,Football,Football,"LUNDQUIST, Evert",SWE,Men,football,M,Bronze
4536,Paris,1924,Football,Football,"MELLGREN, Sten",SWE,Men,football,M,Bronze
4537,Paris,1924,Football,Football,"OCLSSON, G.",SWE,Men,football,M,Bronze
4538,Paris,1924,Football,Football,"RYDELL, Sven",SWE,Men,football,M,Bronze
4539,Paris,1924,Football,Football,"SUNDBERG, Harry",SWE,Men,football,M,Bronze
4540,Paris,1924,Football,Football,"SVENSSON, Thorsten",SWE,Men,football,M,Bronze
4541,Paris,1924,Football,Football,"ZANDER, Robert",SWE,Men,football,M,Bronze
4586,Paris,1924,Gymnastics,Artistic G.,"HIGELIN, André",FRA,Men,horizontal bar,M,Bronze
4589,Paris,1924,Gymnastics,Artistic G.,"SUPCIK, Bedrich",TCH,Men,individual all-round,M,Bronze
4592,Paris,1924,Gymnastics,Artistic G.,"ZAMPORI, Giorgio",ITA,Men,parallel bars,M,Bronze
4595,Paris,1924,Gymnastics,Artistic G.,"REBETEZ, Antoine",SUI,Men,pommel horse,M,Bronze
4598,Paris,1924,Gymnastics,Artistic G.,"VACHA, Ladislav",TCH,Men,rings,M,Bronze
4601,Paris,1924,Gymnastics,Artistic G.,"GÜTTINGER, August",SUI,Men,rope climbing,M,Bronze
4602,Paris,1924,Gymnastics,Artistic G.,"VACHA, Ladislav",TCH,Men,rope climbing,M,Bronze
4608,Paris,1924,Gymnastics,Artistic G.,"GRIEDER, Hans",SUI,Men,team competition,M,Bronze
4609,Paris,1924,Gymnastics,Artistic G.,"GÜTTINGER, August",SUI,Men,team competition,M,Bronze
4610,Paris,1924,Gymnastics,Artistic G.,"GUTWENINGER, Jean",SUI,Men,team competition,M,Bronze
4611,Paris,1924,Gymnastics,Artistic G.,"MIEZ, Georges",SUI,Men,team competition,M,Bronze
4612,Paris,1924,Gymnastics,Artistic G.,"PFISTER, Otto",SUI,Men,team competition,M,Bronze
4613,Paris,1924,Gymnastics,Artistic G.,"REBETEZ, Antoine",SUI,Men,team competition,M,Bronze
4614,Paris,1924,Gymnastics,Artistic G.,"WIDMER, Karl",SUI,Men,team competition,M,Bronze
4615,Paris,1924,Gymnastics,Artistic G.,"WILHELM, Josef",SUI,Men,team competition,M,Bronze
4632,Paris,1924,Gymnastics,Artistic G.,"MORKOVSKY, Bohumil",TCH,Men,vault,M,Bronze
4635,Paris,1924,Modern Pentathlon,Modern Pentath.,"UGGLA, Bertil",SWE,Men,Individual competition,M,Bronze
4638,Paris,1924,Polo,Polo,"BARRETT, Frederick Whitfield",GBR,Men,polo,M,Bronze
4639,Paris,1924,Polo,Polo,"BINGHAM, Dennis",GBR,Men,polo,M,Bronze
4640,Paris,1924,Polo,Polo,"GUEST, Fred",GBR,Men,polo,M,Bronze
4641,Paris,1924,Polo,Polo,"LANNOWE, M.",GBR,Men,polo,M,Bronze
4642,Paris,1924,Polo,Polo,"WISE, Kinnear",GBR,Men,polo,M,Bronze
4658,Paris,1924,Rowing,Rowing,"BOSSHARD, Rudolf",SUI,Men,double sculls (2x),M,Bronze
4659,Paris,1924,Rowing,Rowing,"THOMA, Heinrich",SUI,Men,double sculls (2x),M,Bronze
4664,Paris,1924,Rowing,Rowing,"CATTALINICH, Antonio",ITA,Men,eight with coxswain (8+),M,Bronze
4665,Paris,1924,Rowing,Rowing,"CATTALINICH, Francesco",ITA,Men,eight with coxswain (8+),M,Bronze
4666,Paris,1924,Rowing,Rowing,"CATTALINICH, Simeone",ITA,Men,eight with coxswain (8+),M,Bronze
4667,Paris,1924,Rowing,Rowing,"CRIVELLI, Giuseppe",ITA,Men,eight with coxswain (8+),M,Bronze
4668,Paris,1924,Rowing,Rowing,"GALLASSO, Latino",ITA,Men,eight with coxswain (8+),M,Bronze
4669,Paris,1924,Rowing,Rowing,"GLIUBICH, Vittorio",ITA,Men,eight with coxswain (8+),M,Bronze
4670,Paris,1924,Rowing,Rowing,"IVANOV, Pietro",ITA,Men,eight with coxswain (8+),M,Bronze
4671,Paris,1924,Rowing,Rowing,"SORICH, Bruno",ITA,Men,eight with coxswain (8+),M,Bronze
4672,Paris,1924,Rowing,Rowing,"TONIATTI, Carlo",ITA,Men,eight with coxswain (8+),M,Bronze
4691,Paris,1924,Rowing,Rowing,"ALBRECHT, Emile",SUI,Men,four without coxswain (4-),M,Bronze
4692,Paris,1924,Rowing,Rowing,"PROBST, Alfred",SUI,Men,four without coxswain (4-),M,Bronze
4693,Paris,1924,Rowing,Rowing,"SIGG, Eugen",SUI,Men,four without coxswain (4-),M,Bronze
4694,Paris,1924,Rowing,Rowing,"WALTER, Hans",SUI,Men,four without coxswain (4-),M,Bronze
4703,Paris,1924,Rowing,Rowing,"GERHARDT, Robert",USA,Men,four-oared shell with coxswain (4-),M,Bronze
4704,Paris,1924,Rowing,Rowing,"JELINEK, Sidney",USA,Men,four-oared shell with coxswain (4-),M,Bronze
4705,Paris,1924,Rowing,Rowing,"KENNEDY, John",USA,Men,four-oared shell with coxswain (4-),M,Bronze
4706,Paris,1924,Rowing,Rowing,"MITCHELL, Edward",USA,Men,four-oared shell with coxswain (4-),M,Bronze
4707,Paris,1924,Rowing,Rowing,"WELSFORD, Henry",USA,Men,four-oared shell with coxswain (4-),M,Bronze
4718,Paris,1924,Rowing,Rowing,"BUTLER, Leon",USA,Men,pair-oared shell with coxswain (2+),M,Bronze
4719,Paris,1924,Rowing,Rowing,"JENNINGS, Edward Francis",USA,Men,pair-oared shell with coxswain (2+),M,Bronze
4720,Paris,1924,Rowing,Rowing,"WILSON, Harold",USA,Men,pair-oared shell with coxswain (2+),M,Bronze
4727,Paris,1924,Rowing,Rowing,"SCHNEIDER, Josef",SUI,Men,single sculls (1x),M,Bronze
4730,Paris,1924,Rugby,Rugby,"ANASTASIADE, N.",ROU,Men,rugby,M,Bronze
4731,Paris,1924,Rugby,Rugby,"ARMASEL, Dumitru",ROU,Men,rugby,M,Bronze
4732,Paris,1924,Rugby,Rugby,"BENTIA, Gheorghe",ROU,Men,rugby,M,Bronze
4733,Paris,1924,Rugby,Rugby,"COCIOCIAHO, J.",ROU,Men,rugby,M,Bronze
4734,Paris,1924,Rugby,Rugby,"CRATUNESCO, C.",ROU,Men,rugby,M,Bronze
4735,Paris,1924,Rugby,Rugby,"FLORIAN, Theodor",ROU,Men,rugby,M,Bronze
4736,Paris,1924,Rugby,Rugby,"GARLESTEANO, J.",ROU,Men,rugby,M,Bronze
4737,Paris,1924,Rugby,Rugby,"GHITZULESCO, P.",ROU,Men,rugby,M,Bronze
4738,Paris,1924,Rugby,Rugby,"LOUKIDY, O.",ROU,Men,rugby,M,Bronze
4739,Paris,1924,Rugby,Rugby,"MANO, H.",ROU,Men,rugby,M,Bronze
4740,Paris,1924,Rugby,Rugby,"MARASCO, Nicolae",ROU,Men,rugby,M,Bronze
4741,Paris,1924,Rugby,Rugby,"MARIAN, Theodor",ROU,Men,rugby,M,Bronze
4742,Paris,1924,Rugby,Rugby,"MICHAILESCO, Sorin",ROU,Men,rugby,M,Bronze
4743,Paris,1924,Rugby,Rugby,"NEDELCOVICI, Paul",ROU,Men,rugby,M,Bronze
4744,Paris,1924,Rugby,Rugby,"NEMESCH, Iosif",ROU,Men,rugby,M,Bronze
4745,Paris,1924,Rugby,Rugby,"SFETESCU, Eugen",ROU,Men,rugby,M,Bronze
4746,Paris,1924,Rugby,Rugby,"SFETESCU, Mircea",ROU,Men,rugby,M,Bronze
4747,Paris,1924,Rugby,Rugby,"STERIAN, Soare",ROU,Men,rugby,M,Bronze
4748,Paris,1924,Rugby,Rugby,"STROESCO, M.",ROU,Men,rugby,M,Bronze
4749,Paris,1924,Rugby,Rugby,"TANASESCU, Atanasie",ROU,Men,rugby,M,Bronze
4750,Paris,1924,Rugby,Rugby,"VARDALA, Mihail",ROU,Men,rugby,M,Bronze
4751,Paris,1924,Rugby,Rugby,"VIDRASHCU, Paul",ROU,Men,rugby,M,Bronze
4752,Paris,1924,Rugby,Rugby,"VOLVOREANU, Dumitru",ROU,Men,rugby,M,Bronze
4812,Paris,1924,Sailing,Sailing,"CARP, Johan Robbert",NED,Men,6m,X,Bronze
4813,Paris,1924,Sailing,Sailing,"GUEPIN, Antonij Johannes",NED,Men,6m,X,Bronze
4814,Paris,1924,Sailing,Sailing,"VREEDE, Jan Anthony",NED,Men,6m,X,Bronze
4821,Paris,1924,Sailing,Sailing,"BREGUET, Louis",FRA,Men,8m,X,Bronze
4822,Paris,1924,Sailing,Sailing,"GANTHIER, P.",FRA,Men,8m,X,Bronze
4823,Paris,1924,Sailing,Sailing,"GIRARDET, R.",FRA,Men,8m,X,Bronze
4824,Paris,1924,Sailing,Sailing,"GUERRIER, A.",FRA,Men,8m,X,Bronze
4825,Paris,1924,Sailing,Sailing,"MOLLARD, Georges",FRA,Men,8m,X,Bronze
4835,Paris,1924,Sailing,Sailing,"DITTMAR, Hans Erik",FIN,Men,olympic class monotype,X,Bronze
4838,Paris,1924,Shooting,Shooting,"SWAHN, Alfred",SWE,Men,"100m running deer, double shots",M,Bronze
4841,Paris,1924,Shooting,Shooting,"BENEDICKS, Edward",SWE,Men,"100m running deer, double shots, team",M,Bronze
4842,Paris,1924,Shooting,Shooting,"EKBLOM, Axel W.",SWE,Men,"100m running deer, double shots, team",M,Bronze
4843,Paris,1924,Shooting,Shooting,"JOHANSSON, G. Mauritz",SWE,Men,"100m running deer, double shots, team",M,Bronze
4844,Paris,1924,Shooting,Shooting,"LANDELIUS, P. Fredric",SWE,Men,"100m running deer, double shots, team",M,Bronze
4845,Paris,1924,Shooting,Shooting,"SVENSSON, Karl-Gustaf E.",SWE,Men,"100m running deer, double shots, team",M,Bronze
4846,Paris,1924,Shooting,Shooting,"SWAHN, Alfred",SWE,Men,"100m running deer, double shots, team",M,Bronze
4859,Paris,1924,Shooting,Shooting,"OLSEN, Otto M.",NOR,Men,"100m running deer, single shots",M,Bronze
4862,Paris,1924,Shooting,Shooting,"BOLES, John Keith",USA,Men,"100m running deer, single shots, team",M,Bronze
4863,Paris,1924,Shooting,Shooting,"COULTER, Raymond Orville",USA,Men,"100m running deer, single shots, team",M,Bronze
4864,Paris,1924,Shooting,Shooting,"FENTON, Dennis",USA,Men,"100m running deer, single shots, team",M,Bronze
4865,Paris,1924,Shooting,Shooting,"STOKES, Walter Raymond",USA,Men,"100m running deer, single shots, team",M,Bronze
4878,Paris,1924,Shooting,Shooting,"HANNELIUS, Lennart Wilhelm",FIN,Men,25m rapid fire pistol (60 shots),M,Bronze
4881,Paris,1924,Shooting,Shooting,"AUGUSTIN, Ludovic",HAI,Men,"400, 600, 800m free rifle, team",M,Bronze
4882,Paris,1924,Shooting,Shooting,"CLERMONT, L. H.",HAI,Men,"400, 600, 800m free rifle, team",M,Bronze
4883,Paris,1924,Shooting,Shooting,"DESTINE, Destin",HAI,Men,"400, 600, 800m free rifle, team",M,Bronze
4884,Paris,1924,Shooting,Shooting,"DUPRE, C.",HAI,Men,"400, 600, 800m free rifle, team",M,Bronze
4885,Paris,1924,Shooting,Shooting,"METULLUS, St Eloi",HAI,Men,"400, 600, 800m free rifle, team",M,Bronze
4886,Paris,1924,Shooting,Shooting,"ROLLAND, Astrel",HAI,Men,"400, 600, 800m free rifle, team",M,Bronze
4887,Paris,1924,Shooting,Shooting,"VALBORGE, Ludovic",HAI,Men,"400, 600, 800m free rifle, team",M,Bronze
4899,Paris,1924,Shooting,Shooting,"HARTMANN, Josias",SUI,Men,50m rifle prone (60 shots),M,Bronze
4902,Paris,1924,Shooting,Shooting,"LARSEN, Niels Hansen Ditlev",DEN,Men,"600m free rifle, individual",M,Bronze
4905,Paris,1924,Shooting,Shooting,"EKMAN, Werner R. N.",FIN,Men,"clay pigeons, team",M,Bronze
4906,Paris,1924,Shooting,Shooting,"HUBER, Konrad Walentin",FIN,Men,"clay pigeons, team",M,Bronze
4907,Paris,1924,Shooting,Shooting,"HUBER, Robert Valdemar",FIN,Men,"clay pigeons, team",M,Bronze
4908,Paris,1924,Shooting,Shooting,"NORDBLAD, Georg J. W.",FIN,Men,"clay pigeons, team",M,Bronze
4909,Paris,1924,Shooting,Shooting,"TIKKANEN, Robert",FIN,Men,"clay pigeons, team",M,Bronze
4910,Paris,1924,Shooting,Shooting,"WEGELIUS, Karl Magnus",FIN,Men,"clay pigeons, team",M,Bronze
4923,Paris,1924,Shooting,Shooting,"HUGHES, Frank",USA,Men,trap (125 targets),M,Bronze
4926,Paris,1924,Tennis,Tennis,"BOROTRA, Jean R.",FRA,Men,doubles,M,Bronze
4927,Paris,1924,Tennis,Tennis,"LACOSTE, Jean René",FRA,Men,doubles,M,Bronze
4932,Paris,1924,Tennis,Tennis,"COLYER, Evelyn Lucy",GBR,Women,doubles,W,Bronze
