,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
17944,7,19,33,41,14641,15,1,460,1,1
14914,10,17,25,31,9403,32,0,361,0,0
11029,18,14,5,5,6656,93,0,248,0,2
11840,9,15,0,43,2656,97,0,461,0,1
4219,13,6,0,43,1190,7,0,461,0,2
14500,10,17,11,15,12106,48,0,355,0,2
14004,10,17,0,35,3535,34,1,142,1,1
17039,7,19,5,5,504,91,0,176,0,0
1630,6,3,25,31,9779,7,0,343,0,2
13373,12,16,12,17,4821,70,0,359,0,1
1284,6,3,5,5,14184,33,0,26,0,0
4655,13,6,25,31,11352,61,0,325,0,1
17213,7,19,10,14,10579,33,1,438,2,2
10214,14,13,10,14,11237,4,0,438,2,1
15841,11,18,11,15,13425,93,1,355,1,2
15124,10,17,35,44,7885,34,0,1,0,0
364,13,1,11,15,502,31,0,466,0,1
5303,0,7,11,15,4231,31,0,354,0,1
9426,8,12,12,17,7762,97,0,359,0,2
17065,7,19,5,5,6160,97,0,248,0,1
5716,7,8,0,12,4141,95,0,73,0,2
17878,7,19,28,34,3617,95,0,162,0,1
15278,11,18,0,35,11684,34,1,133,1,1
5947,7,8,9,10,10037,48,0,442,0,1
1097,16,2,32,39,6096,95,0,454,0,1
14551,10,17,12,17,1485,34,0,359,0,1
2777,17,4,31,38,5003,33,1,391,2,1
18782,15,20,11,15,2576,40,0,421,0,1
3367,1,5,14,1,2477,48,0,440,0,1
2279,17,4,14,1,2548,33,0,440,0,0
11666,18,14,36,46,2047,75,0,170,0,0
18001,7,19,36,45,13303,50,0,170,0,1
13243,12,16,10,14,14499,95,0,438,2,2
18026,7,19,36,46,8650,97,0,0,0,2
17506,7,19,15,19,6574,52,1,364,1,2
12561,9,15,28,34,8692,32,0,159,0,2
2727,17,4,28,34,7387,83,0,362,0,1
6854,4,9,14,1,525,81,0,440,0,2
18493,15,20,3,3,3615,95,1,314,1,1
3464,1,5,14,1,2265,7,0,443,0,0
4174,13,6,0,35,4165,33,1,141,1,2
1223,6,3,2,2,5376,95,0,132,0,2
8746,5,11,25,31,7473,95,0,361,0,0
4971,13,6,36,45,9250,50,0,180,0,0
18593,15,20,6,6,34,40,0,292,0,0
11429,18,14,25,31,7967,86,0,343,0,0
5441,0,7,14,1,12553,81,0,440,0,1
7156,4,9,35,44,14066,35,0,231,0,0
8306,5,11,5,5,2245,70,0,217,0,1
11224,18,14,12,17,5217,28,0,359,0,0
3014,1,5,2,2,3262,95,0,115,0,1
3724,1,5,27,33,4419,64,0,68,2,1
15157,10,17,36,45,2759,95,0,186,0,0
17191,7,19,10,13,7070,32,0,438,2,1
16468,11,18,33,41,3102,11,1,460,1,0
17950,7,19,33,41,816,95,1,460,1,2
14557,10,17,12,17,5200,34,0,359,0,1
17129,7,19,6,6,4739,13,1,294,1,0
1488,6,3,14,1,3544,64,0,440,0,2
4669,13,6,25,31,4439,48,0,343,0,0
3454,1,5,14,1,9770,64,0,444,0,2
10427,14,13,16,20,2378,25,0,370,0,0
10986,18,14,3,3,9104,93,0,314,0,2
1617,6,3,25,31,14572,13,0,343,0,0
841,16,2,9,11,5656,95,0,43,0,1
7577,6,10,10,14,12343,58,0,438,2,0
2270,17,4,12,17,9732,21,0,359,0,2
12036,9,15,5,5,618,48,0,6,0,0
357,13,1,11,15,11821,31,0,463,0,0
940,16,2,13,18,3452,95,0,438,0,1
13279,12,16,11,15,9589,31,0,354,0,0
11182,18,14,11,15,9995,70,0,355,0,2
1064,16,2,25,31,3336,95,0,360,0,0
1464,6,3,14,1,11172,83,0,440,0,1
3590,1,5,17,21,4919,13,0,372,0,1
11664,18,14,36,46,6982,40,0,20,0,1
13916,10,17,0,35,10955,34,1,54,1,1
12037,9,15,5,5,11067,58,0,6,0,0
8633,5,11,14,1,11928,93,1,447,1,2
17,2,0,2,2,7593,31,0,83,0,0
13960,10,17,0,35,1539,61,1,95,1,0
14346,10,17,6,6,3058,75,0,287,0,0
19709,3,21,0,35,7925,15,1,141,1,2
7635,6,10,11,15,3048,48,0,355,0,2
11210,18,14,11,15,8644,93,0,421,0,1
9746,8,12,36,45,6520,43,0,27,0,2
3644,1,5,25,31,11478,95,0,343,0,1
6500,4,9,2,2,2285,95,0,329,0,2
10568,14,13,27,33,14735,37,0,341,2,1
12453,9,15,25,31,13677,61,0,337,0,2
5137,0,7,2,2,13160,13,1,143,1,1
15393,11,18,2,2,14247,33,0,91,0,2
1582,6,3,23,28,7468,33,0,333,0,0
5339,0,7,11,15,13089,40,0,421,0,1
4985,13,6,36,45,12817,83,0,256,0,2
19298,15,20,25,31,12377,34,1,415,1,1
14208,10,17,2,2,2179,93,1,424,1,2
725,16,2,1,0,14431,95,0,441,0,1
15747,11,18,10,13,8861,93,1,438,2,1
7768,6,10,14,1,13025,40,1,440,1,2
10968,18,14,3,3,1603,95,0,314,0,1
1502,6,3,14,1,8909,64,0,440,0,2
4218,13,6,0,43,1189,7,0,461,0,2
13631,12,16,25,31,2273,95,0,343,0,2
16068,11,18,15,19,13254,97,1,364,1,2
11939,9,15,2,2,3710,95,0,259,0,0
3746,1,5,27,33,14916,64,0,82,2,1
7229,6,10,0,35,8561,95,0,84,0,1
12128,9,15,9,10,4096,83,0,442,0,2
9439,8,12,14,1,9141,93,0,352,0,1
10133,14,13,6,6,7233,48,0,281,0,2
